price,price_before_discount,raw_discount,discount_percentage,name,image,sold,historical_sold,shop_name,itemid,shopid,rating_star,rating_count,shop_location,stock
0.22,5.6,98,98%,Wefly China eSIM 5G 1-30 Days 3-50GB Unlimited Data eSIM China SIM Card with VPN,https://down-sg.img.susercontent.com/file/sg-11134207-824iq-mfmagge3h3pkdd,8000,50000,wefly✈,1193244831,71350056,4.77374243372991,19232,SG,1
0.88,13.5,96,96%,Europe eSIM 5G High Speed 1-30 Days 500MB-30GB Unlimited Travel Data Europe 40 countries SIM card,https://down-sg.img.susercontent.com/file/sg-11134207-7ra1n-mbc860phunw67e,3000,40000,Roam eSIM ,20787063180,1129473349,4.900929306339197,12082,SG,1
0.88,1.3,33,33%,Europe eSIM Ultra 5G 1-30 Days 500MB-20GB Unlimited Data Instant Email Delivery High Speed Travel Data Europe SIM Card,https://down-sg.img.susercontent.com/file/sg-11134207-824is-mf6hawelaadk71,2000,20000,NPN Travel,22071883003,116291565,4.8122534840915066,7608,SG,1
0.94,4.79,86,86%,Indonesia eSIM Ultra 5G 1-15 Days Daily 500MB-3GB Unlimited Data | Instant Email Delivery | High Speed Data ID SIM Card,https://down-sg.img.susercontent.com/file/sg-11134207-824is-mf6ilmuu8u14d7,2000,50000,NPN Travel,10480087753,116291565,4.8812343800934475,18408,SG,1
9.99,18.99,58,58%,LionShield iPhone Screen Protector 17 Pro Max/16/15/14/13/16e Plus Tempered Glass-Clear/Matte/Privacy,https://down-sg.img.susercontent.com/file/sg-11134207-824is-mehfa6qq1m2va4,2000,100000,LionShield,2285321333,75632239,4.859463469873872,51222,SG,1
23.0,29.0,21,21%,Apple EarPods (USB-C),https://down-sg.img.susercontent.com/file/2d19ea7385cec41952475acdedc9c3c5,2000,20000,Apple Flagship Store,16098858571,442800909,4.948146828225232,11224,SG,1
42.9,65.0,70,70%,JisuLife Handheld Fan Pro 1/Pro 1S Portable 100 Level Speed Adjustable Metal Body Digital Display,https://down-sg.img.susercontent.com/file/cn-11134207-7ras8-mbywpzl3y15755,1000,60000,JisuLife Official Shop,21389315143,310056235,4.938585372037013,31558,SG,1
0.2,5.45,96,96%,🔥South Korea eSIM 1-30 Days 500MB-20GB 5G Unlimited Data eSIM Korea SIM Card eSIM Send in 1min,https://down-sg.img.susercontent.com/file/sg-11134207-824gx-me41rqwxfz0n76,1000,10000,SCT-Global SIM Card,20872248520,190717739,4.822736696613683,5818,SG,1
0.99,3.16,69,69%,9H Frosted Matte Anti fingerprints Tempered Glass Screen Protector For iPhone 17 16 15 Pro Max 14 Plus 13 12 Mini 11 XR X XS 7 8 6 6S SE 2020 HD Clear Privacy,https://down-sg.img.susercontent.com/file/0c89fbac28830a413540b250b2f251db,1000,90000,Herry.sg 3C&Phone Accessory Store,4718170071,76621276,4.807839819514946,35462,Mainland China,1
2.9,15.0,81,81%,Muxma Screen Protector Tempered Glass Compatible for iPhone 17 ProMax 16e 15 14 13 12 11 16 Pro Max,https://down-sg.img.susercontent.com/file/sg-11134207-824j1-meo2fnc0v4e82f,1000,20000,Muxma,18706730253,358800997,4.7706766917293235,7448,SG,1
0.3,1.5,80,80%,Malaysia eSIM Pro+ 5G 1-15Days Daily 500MB-2GB Data | Instant Email Delivery | High Speed Travel Data MY SIM Card,https://down-sg.img.susercontent.com/file/sg-11134207-824h5-mf6gy1dvrjta1a,1000,100000,NPN Travel,25407957712,116291565,4.911023370822366,50606,SG,1
182.0,199.0,9,9%,Apple AirPods 4,https://down-sg.img.susercontent.com/file/sg-11134301-7rdvn-m002bqsv7an0a1,1000,10000,Apple Flagship Store,29960807971,442800909,4.93212927756654,10544,SG,1
1.0,3.16,68,68%,Cable Organizer Cord Wrapper Wire Clip Cord Holder Storage Winder Kitchen Appliances Wrap Cab 电线缠绕器,https://down-sg.img.susercontent.com/file/sg-11134201-7rd6i-lv0t56r37bak25,1000,4000,yanchen.sg,24352974041,1134738967,4.711666666666667,1200,Mainland China,1
0.59,2.2,74,74%,Wefly Europe eSIM 5G 1-30 Days 500MB-30GB Unlimited Data eSIM Europe SIM Card For 33 Countries,https://down-sg.img.susercontent.com/file/sg-11134207-7rdw7-mdeghh33yy8k0e,1000,9000,wefly✈,22108735690,71350056,4.760282776349614,3118,SG,1
0.01,52.76,99,99%,Jeep EW121 True Wireless Bluetooth 5.4 Earbuds Touch Control Noise Reduction Earphones For Android Iphone,https://down-sg.img.susercontent.com/file/cn-11134207-7r98o-lxw9nqqsbr4z3f,1000,10000,Jeep Official Store,25483790400,1058254930,4.798433987130785,25798,Mainland China,1
23.9,47.0,49,49%,JisuLife Portable Folding Mini Fan Life 7 5000mAh 5 Gears Adjustable Small Handheld Fan Strong Wind Silent,https://down-sg.img.susercontent.com/file/cn-11134207-7ras8-m6np4yt1rokc1e,1000,20000,JisuLife Official Shop,24267086326,310056235,4.931230769230769,13000,SG,1
1.99,1.99,2,2%,[ICC eSIM] Japan Unlimited data 1-30 Days Daily 5GB/3GB/2GB/1GB/500MB 4G + Unlimited Data (Softbank)/Japan local eSIM,https://down-sg.img.susercontent.com/file/sg-11134207-821gf-mghorxzeuuiz91,1000,40000,International Card Center,20837971253,22502375,4.889210990673052,15868,SG,1
4.88,4.99,2,2%,ICC eSIM China+HK+Macau 3-30Days Unlimited Data|China Unicom Network|Good for Xinjiang|VPN ready,https://down-sg.img.susercontent.com/file/sg-11134207-7rdx6-mcpw7bbvqrzwc4,1000,20000,International Card Center,17230417326,22502375,4.85792220113852,8432,SG,1
473.0,499.0,8,8%,"Apple 11-inch iPad Wi-Fi (A16 chip, 2025)",https://down-sg.img.susercontent.com/file/sg-11134301-7rd4o-m6yvtoxyhx58c7,1000,6000,Apple Flagship Store,29978401573,442800909,4.942723004694836,4260,SG,1
10.93,29.99,68,68%,Vention Power Bank Fast charging digital display powerbank 20000mAh 10000mAh Portable Slim Charge Charger 22.5W,https://down-sg.img.susercontent.com/file/sg-11134207-7ra0o-mbdj7qh43634b3,1000,30000,Vention Official Singapore,24707328570,922306130,4.853682342502219,22548,SG,1
49.9,163.15,69,69%,【NEW】JisuLife Neck Fan Life 5 100 Levels Adjustable Strong Wind Handheld Fan Desktop LED Screen Portable Sports Fan Waist Fan,https://down-sg.img.susercontent.com/file/cn-11134207-7ras8-mc20isr6c8yh0b,1000,2000,JisuLife Official Shop,44101756340,310056235,4.893351800554017,1444,SG,1
